,budget,cast,keywords,production_method,franchise,creative_type,genre,production_companies
The Good Dinosaur(2015),187500000.0,19.812452875584757,19.437282324391962,19.524538422716148,18.1041296577019,19.19151692521183,19.26045758445077,20.281660856290824
Iron Man(2008),186000000.0,19.780033765318223,19.114649247776136,18.275310324703984,20.476341844136243,19.860839450804544,19.26045758445077,19.96443843879392
The Dark Knight(2008),185000000.0,19.811923770919506,19.184062159011987,18.275310324703984,20.485991643359455,19.860839450804544,18.97985589795907,19.83374306467302
Indiana Jones and the Kingdom of the Crystal Skull(2008),185000000.0,19.755875327524354,19.36580891547675,18.275310324703984,19.98590655869238,18.16216731290656,19.26045758445077,20.32877095859611
Brave(2012),185000000.0,19.963701467594984,19.238418495917685,19.524538422716148,18.1041296577019,19.19151692521183,19.26045758445077,20.281660856290824
Kong: Skull Island(2017),185000000.0,19.79194937914629,19.528253420977954,18.275310324703984,20.050166758185895,18.873247430393473,19.26045758445077,19.78086316226229
Star Trek Beyond(2016),185000000.0,19.65297135728069,19.085859651903114,18.275310324703984,18.968878565330364,18.873247430393473,19.26045758445077,19.629522877007073
Blade Runner 2049(2017),185000000.0,19.070910927342577,18.99031075972877,18.275310324703984,18.757215223874518,18.873247430393473,18.139730905563592,19.08820706845247
Thor: Ragnarok(2017),180000000.0,19.922442035576072,19.510376243086153,18.275310324703984,20.466205153623548,19.860839450804544,18.97985589795907,20.222776876389098
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe(2005)",180000000.0,19.75394649777866,19.3272456451234,19.141718895390603,20.03402573194566,18.77027429612816,19.26045758445077,19.60467562195743
Maleficent(2014),180000000.0,19.74998353498622,19.249089657400454,18.275310324703984,18.1041296577019,18.77027429612816,19.26045758445077,19.64105986019292
Fantastic Beasts and Where to Find Them(2016),180000000.0,19.866407485660137,19.307868420079302,18.275310324703984,20.40954879883926,18.77027429612816,19.26045758445077,19.871166905135567
WALL-E(2008),180000000.0,20.118769944461395,19.652140766098434,19.524538422716148,18.1041296577019,18.873247430393473,19.26045758445077,20.01986657980022
Rush Hour 3(2007),180000000.0,19.17948898454439,18.71598527447734,18.275310324703984,19.428534723349063,18.01463592913939,18.97985589795907,19.042527798843174
The Legend of Tarzan(2016),180000000.0,19.50444760009471,19.575288081308134,18.275310324703984,18.1041296577019,18.16216731290656,19.26045758445077,19.348608114164342
Hugo(2011),180000000.0,18.95377712662009,18.874263264582357,19.141718895390603,18.1041296577019,18.77027429612816,19.26045758445077,18.93302474415382
Valerian and the City of a Thousand Planets(2017),180000000.0,19.214993786990732,19.213810306696455,18.275310324703984,18.1041296577019,18.873247430393473,19.26045758445077,18.770994114327017
Jupiter Ascending(2015),179000000.0,19.218139948452592,19.31186299380456,18.275310324703984,18.1041296577019,18.873247430393473,18.97985589795907,19.084347289419537
X-Men: Apocalypse(2016),178000000.0,19.67032222566219,19.801405546840762,18.275310324703984,19.94781359680506,19.860839450804544,18.97985589795907,19.590160683000395
